"ORIG_RT","ORIG_AMT","ORIG_TRM","OLTV","OCLTV","NUM_BO","DTI","CSCORE_B","NUM_UNIT","LAST_RT","Loan.Age","Adj.Month.To.Mat","CSCORE_MN","loan_month","first_month","cluster"
7.25,10.8589989975636,8,70,70,2,43,690,1,7.25,0.4,228,690,244,2,3
3.25,11.9703503120091,6,60,60,2,41,778,1,3.25,0.333333333333333,170,726,184,2,1
3.875,11.5711943730942,4,39,41,2,21,810,1,3.875,0.0666666666666667,117,810,123,2,5
4.625,11.418614785499,6,58,58,2,23,773,1,4.625,0.233333333333333,163,721,184,2,1
4,12.9715404876697,12,72,72,2,36,746,1,4,0.333333333333333,350,746,366,2,2
3.5,12.4684369099977,12,80,80,2,18,815,1,3.5,0.233333333333333,353,815,366,2,2
3.875,12.9408415007809,12,71,71,2,16,715,1,3.875,0.0666666666666667,357,713,366,2,2
6,11.6526874073454,12,77,77,2,31,743,1,6,0.333333333333333,344,743,366,2,3
4.25,12.0197430673387,6,50,50,2,20,814,1,4.25,0.4,161,808,184,2,1
6.125,11.4075649493124,12,78,78,3,37,617,1,6.125,0.133333333333333,356,617,366,2,3
2.875,12.5672374947418,6,50,50,2,24,798,1,2.875,0.266666666666667,172,788,184,2,1
5.875,12.2643415536542,12,80,80,2,44,684,1,5.875,0.2,355,684,366,2,3
2.75,11.7829526021833,4,63,63,2,26,800,1,2.75,0.333333333333333,110,794,123,2,1
6.25,11.289781913656,12,46,46,1,40,636,1,6.25,0.266666666666667,352,636,366,2,5
5.5,12.6247829803884,12,80,80,2,30,728,1,5.5,0.0666666666666667,358,727,366,2,2
7.75,11.5129254649702,12,95,95,2,29,739,1,7.75,0.366666666666667,342,678,366,2,3
8.5,12.3883942023241,12,80,80,2,24,655,1,8.5,0.2,0,655,366,2,3
4.375,11.5424842672118,6,26,26,2,32,782,1,4.375,0.366666666666667,168,782,184,2,5
3.875,11.3850920934603,6,75,75,2,37,694,1,3.875,0.1,0,655,184,2,1
4.5,12.5317727851695,12,70,70,1,36,672,1,4.5,0.333333333333333,350,672,366,2,4
4.125,12.2160229763833,12,80,80,2,38,819,1,4.125,0.2,0,817,366,2,2
3.375,11.289781913656,12,80,80,1,26,798,1,3.375,0.4,346,798,366,2,4
3.875,12.1858699382127,12,70,70,1,43,778,2,3.875,0.166666666666667,354,778,366,2,4
3.99,12.8049091466189,12,65,65,2,48,797,1,3.99,0.1,0,797,366,2,2
5.625,12.7007688873663,12,95,95,2,35,675,1,5.625,0.333333333333333,350,664,366,2,2
6.875,11.6699292137799,12,73,73,1,46,667,1,6.875,0,360,667,366,2,4
3.5,12.4090134895269,12,80,80,2,35,755,1,3.5,0.233333333333333,351,755,366,2,2
5.375,12.0435537160324,6,24,24,2,12,797,1,5.375,0.333333333333333,170,797,184,2,5
5.75,11.7440371859336,4,63,63,1,30,793,1,5.75,0.266666666666667,112,793,123,2,1
6,11.805595078933,12,70,70,2,60,670,1,6,0.266666666666667,352,670,366,2,3
5.875,11.0974100210086,6,48,70,1,45,790,1,5.875,0.166666666666667,175,790,184,2,1
6,11.8422292121128,6,53,53,2,24,791,1,6,0.366666666666667,167,791,184,2,1
4.375,12.7938593104323,12,43,43,2,44,761,1,4.375,0.233333333333333,353,761,366,2,5
6.5,11.2252433925184,6,53,53,2,37,735,1,6.5,0.1,177,735,184,2,5
